ZIP,Geography,Total_Population,Median_Age,Median_Household_Income,Population_65_Plus,Percent_65_Plus,Population_Below_Poverty,Poverty_Rate,Population_Under_65,Uninsured_Under_65,Uninsured_Rate_Under_65,Total_Facilities,Clinics,Hospitals,Total_Providers,Total_Physicians,Family_Practice_GP,Internal_Medicine,Pediatrics,OB_GYN,Physician_Assistants,Nurse_Practitioners,Licensed_Midwives,Hospital_Beds,Facilities_per_10k,Clinics_per_10k,Providers_per_10k,Physicians_per_10k,Hospital_Beds_per_10k,Providers_per_10k_Z,Physicians_per_10k_Z,Clinics_per_10k_Z,Hospital_Beds_per_10k_Z,Poverty_Rate_Z,Uninsured_Rate_Under_65_Z,Total_Population_Z,Supply_Index,Need_Index,Healthcare_Access_Priority_Score,Equity_Balance,Priority_Score,Priority_Rank,Relative_Priority_Level
98312,ZCTA5 98312,32288,36.6,78664,5232,16.2,3666,11.35,25945,1558,4.83,3.0,2.0,1.0,6.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,31.0,0.93,0.62,1.86,1.86,9.6,-0.429,-0.306,-0.497,0.106,1.061,0.241,1.383,-0.342,0.879,1.221,-1.221,100.0,1,Higher
98359,ZCTA5 98359,4889,43.6,90858,1069,21.87,599,12.25,3788,205,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,-0.78,-0.897,-0.322,1.304,-0.049,-0.824,-0.743,0.472,1.215,-1.215,99.8,2,Higher
98320,ZCTA5 98320,1483,56.2,52045,587,39.58,177,11.94,896,54,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,-0.78,-0.897,-0.322,1.22,-0.299,-1.098,-0.743,0.301,1.044,-1.044,94.4,3,Higher
98367,ZCTA5 98367,31186,41.6,100428,4956,15.89,2137,6.85,25629,1260,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,-0.78,-0.897,-0.322,-0.157,-0.117,1.294,-0.743,0.145,0.888,-0.888,89.4,4,Higher
98311,ZCTA5 98311,27527,36.4,95595,5170,18.78,1923,6.99,20946,1491,5.42,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,1.09,1.09,0.0,-0.59,-0.502,-0.665,-0.322,-0.119,0.508,1.0,-0.559,0.293,0.852,-0.852,88.3,5,Higher
98342,ZCTA5 98342,1362,53.7,90139,408,29.96,116,8.52,952,76,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,-0.78,-0.897,-0.322,0.295,0.58,-1.108,-0.743,0.1,0.843,-0.843,88.0,6,Higher
98366,ZCTA5 98366,37437,38.2,85630,6099,16.29,4309,11.51,30069,2030,5.42,8.0,8.0,0.0,21.0,15.0,7.0,1.0,5.0,2.0,1.0,5.0,0.0,0.0,2.14,2.14,5.61,4.01,0.0,0.358,0.241,0.482,-0.322,1.104,0.508,1.798,0.259,1.064,0.805,-0.805,86.8,7,Moderate
98380,ZCTA5 98380,5582,41.9,108895,1042,18.67,418,7.49,4372,219,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,-0.78,-0.897,-0.322,0.016,-0.172,-0.768,-0.743,-0.197,0.546,-0.546,78.6,8,Moderate
98392,ZCTA5 98392,3203,45.8,80673,784,24.48,280,8.74,2392,193,6.03,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,3.12,0.0,0.0,0.0,-0.819,-0.78,1.114,-0.322,0.354,0.784,-0.96,-0.14,0.22,0.36,-0.36,72.7,9,Moderate
98337,ZCTA5 98337,8785,33.3,69188,852,9.7,1002,11.41,6158,586,6.67,1.0,1.0,0.0,8.0,5.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.14,1.14,9.11,5.69,0.0,1.093,0.669,-0.162,-0.322,1.077,1.074,-0.51,0.433,0.759,0.325,-0.325,71.6,10,Moderate
98329,ZCTA5 98329,11223,42.3,103750,2210,19.69,519,4.62,8952,168,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,-0.78,-0.897,-0.322,-0.761,-1.268,-0.314,-0.743,-0.823,-0.081,0.081,58.7,11,Moderate
98310,ZCTA5 98310,21692,36.6,68247,3643,16.79,2763,12.74,17173,2026,9.34,9.0,8.0,1.0,23.0,22.0,5.0,16.0,0.0,0.5,0.0,1.0,0.0,212.0,4.15,3.69,10.6,10.14,97.73,1.405,1.802,1.481,4.038,1.437,2.284,0.53,1.955,1.509,-0.445,0.445,47.1,12,Moderate
98346,ZCTA5 98346,9973,50.1,106038,2539,25.46,763,7.65,7429,436,4.37,3.0,3.0,0.0,7.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.01,3.01,7.02,5.01,0.0,0.654,0.496,1.043,-0.322,0.059,0.032,-0.414,0.575,-0.044,-0.619,0.619,41.6,13,Lower
98315,ZCTA5 98315,6045,22.8,76806,12,0.2,114,1.89,2630,14,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,-0.78,-0.897,-0.322,-1.499,-1.843,-0.731,-0.743,-1.449,-0.706,0.706,38.9,14,Lower
98110,ZCTA5 98110,24681,49.5,151290,6743,27.32,721,2.92,17872,572,2.32,3.0,3.0,0.0,13.0,12.0,8.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.22,1.22,5.27,4.86,0.0,0.287,0.457,-0.111,-0.322,-1.221,-0.897,0.77,0.046,-0.725,-0.771,0.771,36.8,15,Lower
98314,ZCTA5 98314,1565,22.1,204250,0,0.0,21,1.34,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.819,-0.78,-0.897,-0.322,-1.648,-1.948,-1.092,-0.743,-1.627,-0.884,0.884,33.2,16,Lower
98370,ZCTA5 98370,32862,44.9,103323,7095,21.59,2029,6.17,25043,952,2.9,10.0,10.0,0.0,34.0,27.0,20.0,2.0,3.0,2.0,5.0,2.0,0.0,0.0,3.04,3.04,10.35,8.22,0.0,1.353,1.313,1.062,-0.322,-0.341,-0.634,1.429,0.931,-0.075,-1.005,1.005,29.4,17,Lower
98340,ZCTA5 98340,2692,68.3,95106,1571,58.36,44,1.63,1121,132,4.9,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.71,3.71,7.43,3.71,0.0,0.74,0.165,1.494,-0.322,-1.57,0.272,-1.001,0.754,-0.903,-1.657,1.657,8.7,18,Lower
